State,Model Year,Make,Electric Vehicle Type,Electric Range (Miles),Base (MSRP) Manufacturer’s Suggested Retail Price,Clean Alternative Fuel Vehicle (CAFV) program - Eligibility,District
WA,2013,CHEVROLET,PHEV,38,"$39,145 ",Eligible,WA District 1 
WA,2016,TESLA,BEV,210,"$68,000 ",Eligible,WA District 1 
WA,2018,TESLA,BEV,215,"$46,000 ",Eligible,WA District 1 
WA,2019,TESLA,BEV,220,"$35,000 ",Eligible,WA District 1 
WA,2022,JEEP,PHEV,22,"$59,865 ",Not Eligible,WA District 1 
WA,2020,TESLA,BEV,291,"$35,000 ",Eligible,WA District 1 
WA,2020,TESLA,BEV,322,"$35,000 ",Eligible,WA District 1 
WA,2024,AUDI,PHEV,23,"$67,700 ",Not Eligible,WA District 1 
WA,2017,TESLA,BEV,200,"$68,000 ",Eligible,WA District 1 
WA,2019,JAGUAR,BEV,234,"$69,500 ",Eligible,WA District 1 
WA,2019,TESLA,BEV,220,"$35,000 ",Eligible,WA District 1 
WA,2016,NISSAN,BEV,84,"$29,010 ",Eligible,WA District 1 
WA,2020,CHEVROLET,BEV,259,"$36,620 ",Eligible,WA District 1 
WA,2024,MAZDA,PHEV,26,"$49,945 ",Not Eligible,WA District 1 
WA,2018,TESLA,BEV,215,"$46,000 ",Eligible,WA District 1 
WA,2020,TESLA,BEV,266,"$35,000 ",Eligible,WA District 1 
WA,2010,TESLA,BEV,245,"$109,000 ",Eligible,WA District 1 
WA,2018,TESLA,BEV,215,"$46,000 ",Eligible,WA District 1 
WA,2020,TESLA,BEV,291,"$35,000 ",Eligible,WA District 1 
WA,2016,VOLVO,PHEV,13,"$68,100 ",Not Eligible,WA District 1 
WA,2016,TESLA,BEV,200,"$68,000 ",Eligible,WA District 1 
WA,2021,JEEP,PHEV,25,"$47,995 ",Not Eligible,WA District 1 
WA,2020,TESLA,BEV,291,"$35,000 ",Eligible,WA District 1 
WA,2019,VOLVO,PHEV,17,"$53,700 ",Not Eligible,WA District 1 
WA,2020,TESLA,BEV,289,"$35,000 ",Eligible,WA District 1 
WA,2016,NISSAN,BEV,84,"$29,010 ",Eligible,WA District 1 
WA,2020,TESLA,BEV,266,"$35,000 ",Eligible,WA District 1 
WA,2016,BMW,PHEV,72,"$62,100 ",Eligible,WA District 1 
WA,2017,NISSAN,BEV,107,"$31,575 ",Eligible,WA District 1 
WA,2020,TESLA,BEV,293,"$35,000 ",Eligible,WA District 1 
WA,2022,TOYOTA,PHEV,42,"$40,300 ",Eligible,WA District 1 
WA,2017,TESLA,BEV,200,"$68,000 ",Eligible,WA District 1 
WA,2018,TESLA,BEV,215,"$46,000 ",Eligible,WA District 1 
WA,2021,TOYOTA,PHEV,25,"$38,350 ",Not Eligible,WA District 1 
WA,2015,TESLA,BEV,208,"$71,100 ",Eligible,WA District 1 
WA,2020,CHEVROLET,BEV,259,"$36,620 ",Eligible,WA District 1 
WA,2018,CHRYSLER,PHEV,33,"$39,995 ",Eligible,WA District 1 
WA,2019,TESLA,BEV,220,"$35,000 ",Eligible,WA District 1 
WA,2020,CHEVROLET,BEV,259,"$36,620 ",Eligible,WA District 1 
WA,2023,BMW,PHEV,30,"$65,700 ",Eligible,WA District 1 
WA,2019,TESLA,BEV,220,"$35,000 ",Eligible,WA District 1 
WA,2019,AUDI,BEV,204,"$74,800 ",Eligible,WA District 1 
WA,2017,BMW,PHEV,14,"$63,200 ",Not Eligible,WA District 1 
WA,2023,KIA,PHEV,32,"$38,690 ",Eligible,WA District 1 
WA,2020,NISSAN,BEV,149,"$31,600 ",Eligible,WA District 1 
